id	code	name	rufname	rasse	geschlecht	geburtsdatum	gewicht_kg	groesse_cm	kunden_id	trainingsziele	notizen	felltyp	kastriert	fellfarbe	groesse_typ	herkunft	chip_nummer	created_at	updated_at	schema_version	version	status
019b6fbf-c2b8-7a8f-8012-0c6b68c7bf17	DT-102	Ayda	Ayda	Dt. Dogge	W		0.00	NULL	019b6f8b-fc48-7226-aff2-b22432f22218		22.08.2011 such: Einerseits verspielt, andererseits attackiert sie bei Unaufmerksamkeit des Halterin andere eher schwache Hunde. Wurde angezeigt, musste Hund zeigen, Test bestanden		NULL			Hund				1	0	
019b6fbf-c2b8-7aa5-8a74-2655c634b860	DT-112	Blue	Blue	Dt. Schäferhund	M	2009-08-20	0.00	NULL	019b6f8b-fc48-70be-a7b5-f736fc39c674				0			Hund				1	0	
019b6fbf-c2b8-7ac2-baa5-0f0f0e995916	DT-152	Dexter	Dexter	Altdeutscher Schäferhund	M	2007-09-01	0.00	NULL	019b6f8b-fc48-7efd-bc84-2c337710e07e			langhaar	1	schwarz braun		Hund	756097200127163			1	0	
019b6fbf-c2b8-7af1-b747-cd3d939586f2	DT-45	Sedlarska Naro	Naro	Dt. Schäferhund	M	2010-10-27	0.00	NULL	019b6f8b-fc48-7468-8921-5f4818c77bdf			langhaar	0	schwarz-braun		Hund	756097200167208			1	0	
019b6fbf-c2b8-7afe-841f-338258058f0d	DT-29	Malouk	Malouk	Labrador	M	2009-09-03	0.00	NULL	019b6f8b-fc48-7209-840b-6b99c964a9f6				NULL			Hund				1	0	
019b6fbf-c2b8-7b02-8109-2e2cee183d1a	DT-124	Inush	Inush	Cavalier King Charles	W	2010-05-07	0.00	NULL	019b6f8b-fc48-7c46-a85a-8141cfa17f65				0			Hund	756 098 100 448 294			1	0	
019b6fbf-c2b8-7b04-ba1f-43b0c25f0717	DT-119	Ginger	Ginger	Mischling	W	2004-04-01	0.00	NULL	019b6f8b-fc48-7b21-8a31-76b39276d5da				NULL			Hund	756 097 200 025 622			1	0	
019b6fbf-c2b8-7b0b-a717-cf004f6de23e	DT-43	Jamie	Jamie	Bolonka Zwetna	M	2009-10-01	0.00	NULL	019b6f8b-fc48-71b0-93c7-ef266c5241ec				NULL			Hund				1	0	
019b6fbf-c2b8-7b22-8b9f-483f3c865565	DT-31	Harvey Lord of Forest	Harvey	Beagle	M	2009-11-18	0.00	NULL	019b6f8b-fc48-7c3f-9651-e6b57241b794				NULL			Hund				1	0	
019b6fbf-c2b8-7b35-947e-ddcf105ffa99	DT-13	Haifa am Wupplis	Haifa	Golden Retriever	W	2003-05-07	0.00	NULL	019b6f8b-fc43-7868-9e5d-98de01fb6df0				NULL			Hund				1	0	
019b6fbf-c2b8-7b3c-95d7-943149bdcdda	DT-79	Bonnie	Bonnie	Bobtail	W	2010-01-01	0.00	NULL	019b6f8b-fc48-7744-b397-2576884f9c8d				NULL			Hund				1	0	
019b6fbf-c2b8-7b9b-b8d4-3ca3d744a659	DT-135	Levin	Levin	Biewer Yorkshire Terrier x Yorkshire Terrier	M	2011-07-08	0.00	NULL	019b6f8b-fc48-76ee-8bc1-f103a0adfd44			halblanghaar	NULL	tricolor		Hund	756097200103964			1	0	
019b6fbf-c2b8-7be4-9302-ba73a421f8e3	DT-33	Emma vom Eichblatt	Emma	Rauhhaardackel	W	2008-01-06	0.00	NULL	019b6f8b-fc43-7eb6-8edc-baefa977c67a				NULL			Hund				1	0	
019b6fbf-c2b8-7c3a-acd6-f8d67b293a9e	DT-94	Gioia von Poptime	Gioia	Boxer	W	2010-05-20	0.00	NULL	019b6f8b-fc48-70cb-82f3-9b516d8fcb7a				NULL			Hund				1	0	
019b6fbf-c2b8-7c51-a366-d5eefcc05095	DT-142	Lilo	Lilo	Chihuahua langhaariger Schlag	M	2011-03-26	0.00	NULL	019b6f8b-fc48-7391-9532-7463d21c5bc9			langhaar	NULL	braun mit Brand		Hund	939000 010188915			1	0	
019b6fbf-c2b8-7c53-8c04-f5c751563825	DT-130	Amon	Amon	Hovawart	M	2009-12-05	0.00	NULL	019b6f8b-fc48-744e-ba1d-c4c261ca0b7c			langhaar	1	schwarz		Hund				1	0	
019b6fbf-c2b8-7c5a-8449-e8aea899f793	DT-158	Kaya	Kaya	Lagotto Romagnolo	W	2010-06-26	0.00	NULL	019b6f8b-fc48-75af-a427-b15b1040d66f				NULL			Hund				1	0	
019b6fbf-c2b8-7c76-8038-38641f4d4a30	DT-90	Orlando	Orlando	Bolonka Zwetna	M	2011-02-02	0.00	NULL	019b6f8b-fc48-72ab-9dde-447c1eda186a				NULL			Hund				1	0	
019b6fbf-c2b8-7c8c-91b5-52ed3b5e5616	DT-42	Gorkij von Belaja Gora	Gorkij	Schwarzer Terrier ( Russischer T.)	M	2007-12-04	0.00	NULL	019b6f8b-fc48-734d-9e35-fa17162014e2				NULL			Hund				1	0	
019b6fbf-c2b8-7c95-a3db-d1e12cea5ebf	DT-38	Sasso vom hohlen Fels	Sasso	Cairn Terrier	M	2009-04-05	0.00	NULL	019b6f8b-fc48-756b-8428-d9a1b1e64047				NULL			Hund				1	0	
019b6fbf-c2b8-7c95-a5b1-0cb718752be0	DT-11	Billy	Billy	Malinois x Tschechischer Wolfshund	M	2008-07-17	0.00	NULL	019b6f8b-fc48-763e-89d2-de1cede70338				NULL			Hund				1	0	
019b6fbf-c2b8-7ca7-ae7c-c571dbda023c	DT-16	Kaydee	Kaydee	Französische Bulldogge	W	2011-04-25	0.00	NULL	019b6f8b-fc48-7796-b264-e2653f422352			kurzhaar	NULL	red/pied		Hund	250268720054687			1	0	
019b6fbf-c2b8-7ca9-8a5a-47993f9601a1	DT-76	Cindy	Cindy	Nova Scotia Duck Tolling Retriever	W	2008-11-15	0.00	NULL	019b6f8b-fc48-7683-b789-fb2902e22cd5				NULL			Hund				1	0	
019b6fbf-c2b8-7cc4-b8d1-0b31036a5a63	DT-106	Danochi of isamashii Nakama	Danochi	Shiba Inu	W	2007-01-22	0.00	NULL	019b6f8b-fc48-7bfb-8691-05ea28bddb21		22.08.2011 such: eher schwieriger Hund, war schon an verschiedenen Orten in der Hundeschule , die nicht gut für sie waren. u.a. Oberthaler		NULL			Hund				1	0	
019b6fbf-c2b8-7d16-95c5-2862fa3a7a11	DT-98	Beni	Beni	Labrador x Golden Retriever	M	2009-08-01	0.00	NULL	019b6f8b-fc48-7e5b-b0b6-0a04356f4557				NULL			Hund				1	0	
019b6fbf-c2b8-7d49-92a6-7c30283f8961	DT-139	Rokky	Rokky	Leonberger x Appenzeller	M	2011-05-05	0.00	NULL	019b6f8b-fc47-7ce5-897d-b28f7e0e8951			langhaar	0	schwarz-braun		Hund	756098100522558			1	0	
019b6fbf-c2b8-7d4f-830a-921d9fb33881	DT-103	Diesel	Diesel	Kelpie Mix	M	2001-06-01	0.00	NULL	019b6f8b-fc48-7402-9528-2704448d0355				1			Hund				1	0	
019b6fbf-c2b8-7d5a-8eb1-049d5e6b6ed4	DT-74	Kimi vom Gränzwerg	Kimi	Berner Sennenhund	W	2011-04-25	0.00	NULL	019b6f8b-fc48-74f7-bdf0-c1e1d25281ed				NULL			Hund				1	0	
019b6fbf-c2b8-7d80-ac57-92dd9d140afe	DT-80	Charly	Charly	Golden Retriever	M	2011-05-02	0.00	NULL	019b6f8b-fc43-74df-880f-33ebd99916d3				NULL			Hund	945000001219528			1	0	
019b6fbf-c2b8-7d83-b57a-40dd731e73f0	DT-32	Billy	Billy	Appenzeller Mix	M	2010-05-15	0.00	NULL	019b6f8b-fc48-7368-bc4f-6ef52ea844c6				NULL			Hund				1	0	
019b6fbf-c2b8-7db1-8c40-5849d90d5254	DT-68	Clooney	Clooney	Altdeutscher Schäferhund	M	2010-05-12	0.00	NULL	019b6f8b-fc43-73a2-9bb8-4b871c45b1b1				NULL			Hund				1	0	
019b6fbf-c2b8-7e22-821b-0420ab0e8c33	DT-97	Lyrco	Lyrco	Mischling (Bulgarien)	M	2010-03-15	0.00	NULL	019b6f8b-fc48-7046-8fc9-4d3f94a10508		22.08.2011 such: Hund aus Tierheim, Deprivat		1			Hund				1	0	
019b6fbf-c2b8-7e30-ae8b-b008c3daa4f2	DT-143	Jerry	Jerry	Bergamasker x Appenzeller	M	2011-01-15	0.00	NULL	019b6f8b-fc48-74f9-ac51-ab56b36b0120			langhaar	NULL	grau gestromt		Hund	756098100515658			1	0	
019b6fbf-c2b8-7e4a-995f-0e24fe75edcb	DT-126	Lobo	Lobo	PON	M	2009-10-30	0.00	NULL	019b6f8b-fc48-754e-8f73-3adbc5630a1e			langhaar	0	gefleckt grauer Untergrund		Hund				1	0	
019b6fbf-c2b8-7e57-83fb-42d24323f7c4	DT-56	Rambo	Rambo	Bordercollie x Berner Sennenhund	M	2009-08-06	0.00	NULL	019b6f8b-fc48-791e-b9a9-26e433abee89				NULL			Hund				1	0	
019b6fbf-c2b8-7e78-b86c-92853444c756	DT-61	Aurora	Aurora	Cane Corso	W		0.00	NULL	019b6f8b-fc48-7edf-bba7-7fe77d675bee				NULL			Hund				1	0	
019b6fbf-c2b8-7e84-b507-78fc0bcb9349	DT-114	Rina	Rina	Dobermann x Belg. Schäferhund	W	2006-03-01	0.00	NULL	019b6f8b-fc48-723a-9ab7-c3b04c9c56e2				1			Hund				1	0	
